lea,district_name,pct_need,shortage
3004000,Malvern School District,7.2,0
2501000,Mammoth Spring School District,14.6,0
4712000,Manila School District,9.8,0
6606000,Mansfield School District,11.4,0
2803000,Marmaduke School District,2.2,0
2305000,Mayflower School District,9.2,0
7403000,McCrory School District,10.7,0
3302000,Melbourne School District,8.9,0
5703000,Mena School District,8.3,0
4902000,Mount Ida School District,5.6,0
0303000,Mountain Home School District,7.1,0
6901000,Mountain View School District,2.8,0
2306000,Mt. Vernon/Enola School District,5.8,0
1704000,Mulberry/Pleasant View Bi-County Schools,11.3,0
3105000,Nashville School District,5.4,0
1503000,Nemo Vista School District,6.1,0
1611000,Nettleton School District,7.9,0
3403000,Newport School District,13.8,0
0304000,Norfork School District,6.7,0
5706000,Ouachita River School District,10.3,0
7309000,Pangburn School District,8.2,0
2808000,Paragould School District,7.8,0
4203000,Paris School District,9.1,0
7007000,Parkers Chapel School District,6.4,0
5303000,Perryville School District,7.5,0
6103000,Pocahontas School District,12.4,0
5804000,Pottsville School District,4.8,0
2703000,Poyen School District,10.4,0
7206000,Prairie Grove School District,11.9,0
1203000,Quitman School District,3.0,0
4706000,Rivercrest School District,6.0,0
1613000,Riverside School District,2.5,0
0405000,Rogers School District,7.3,0
7310000,Rose Bud School District,2.9,0
5805000,Russellville School District,10.9,0
2502000,Salem School District,12.6,0
4204000,Scranton School District,12.4,0
6502000,Searcy County School District,13.6,0
7311000,Searcy School District,7.3,0
2705000,Sheridan School District,9.2,0
3806000,Sloan-Hendrix School District,13.9,0
7008000,Smackover-Norphlet School District,14.9,0
1507000,South Conway County School District,2.0,0
5504000,South Pike County School District,10.3,0
7105000,South Side School District (Van Buren),1.0,0
7207000,Springdale School District,8.4,0
7510000,Two Rivers School District,8.6,0
0505000,Valley Springs School District,8.7,0
1612000,Valley View School District,1.4,0
1705000,Van Buren School District,5.2,0
2307000,Vilonia School District,9.1,0
2503000,Viola School District,7.5,0
6401000,Waldron School District,9.1,0
7208000,West Fork School District,10.4,0
1204000,West Side School District (Cleburne),6.2,0
7509000,Western Yell County School District,3.2,0
1602000,Westside Consolidated School District (Craig),4.8,0
3606000,Westside School District (Johnson),9.2,0
7304000,White County Central School District,8.4,0
3510000,White Hall School District,4.1,0
1505000,Wonderview School District,9.0,0
1905000,Wynne School District,9.4,0
4502000,Yellville-Summit School District,5.7,0
